date,cust_email,cust_location,product_id,product_quantity,order_id
2022-01-01,maesp@icloud.com,82321,A5USXEIA3L0O,1,1
2022-01-01,strua@msn.com,21767,LMF7DC8TPTI3,1,2
2022-01-01,tant@hotmail.com,23962,MMW2SV9XBNZO,1,3
2022-01-01,tant@hotmail.com,23962,2MQL9E497GMT,1,4
2022-01-01,tant@hotmail.com,23962,N6JD69MJR4OG,1,5
2022-01-01,tant@hotmail.com,23962,TAIQQJB147OO,1,6
2022-01-01,snaur@aol.com,70593,V1QA49URA794,3,7
2022-01-01,snaur@aol.com,70593,SWN4P0XOTP2B,1,8
2022-01-01,snaur@aol.com,70593,BBRJ47JQQDZ6,1,9
2022-01-01,snaur@aol.com,70593,WPTEH48I6BNX,1,10
2022-01-01,snua@outlook.com,22335,IU7EUDY6NLM3,1,11
2022-01-01,snua@outlook.com,22335,RSWT1GOU2O3G,2,12
2022-01-01,snua@outlook.com,22335,6V3F2HYRHJOH,2,13
2022-01-01,snua@outlook.com,22335,6W89OYO8QKJB,1,14
2022-01-01,snua@outlook.com,22335,2OCDAUS86U09,1,15
2022-01-01,wa@hotmail.com,81509,503URBATPU1E,1,16
2022-01-01,stoim@yahoo.com,42981,XBEN75I1D6LL,1,17
2022-01-01,boenk@live.com,51362,P0HOSP35F72G,1,18
2022-01-01,boenk@live.com,51362,Q94PWBA3VJ52,2,19
2022-01-01,hel@msn.com,83014,ETV9E7TLNLEY,2,20
2022-01-01,hel@msn.com,83014,3DBHKAN4DADU,2,21
2022-01-01,fat@outlook.com,16082,4YCL2TUS87FV,1,22
2022-01-01,fat@outlook.com,16082,7ZG2XKRC8269,1,23
2022-01-01,shosh@yahoo.com,17983,CK6H8D9XYEL4,3,24
2022-01-01,prak@msn.com,60744,IS0ZP8O40MTF,1,25
2022-01-02,jaar@live.com,27243,54BXMP4S83Z1,2,26
2022-01-02,tank@gmail.com,25774,EWY5CTBG21ZQ,3,27
2022-01-02,tank@gmail.com,25774,NUABDP2PHWFG,2,28
2022-01-02,tank@gmail.com,25774,UUPGA9LL8G54,2,29
2022-01-02,tank@gmail.com,25774,J8UISWC7AE3G,2,30
2022-01-02,tank@gmail.com,25774,5FQH7F4WM3YE,2,31
2022-01-02,tank@gmail.com,25774,H0PN9I137GZ2,2,32
